City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Cherskiy,RU,33.8,overcast clouds,68.75,161.3,Gostinitsa
9,Punta Arenas,CL,46.51,scattered clouds,-53.15,-70.9167,Hotel Hain
19,Thompson,CA,32.16,few clouds,55.7435,-97.8558,Burntwood Hotel
29,Hermanus,ZA,49.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,Albatross Hotel
54,Khatanga,RU,29.98,light snow,71.9667,102.5,"""Khatanga"""
62,Hovd,MN,25.86,clear sky,48.0056,91.6419,Hotel Buyant
75,Barrow,US,30.22,light snow,71.2906,-156.7887,King Eider Inn
81,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
85,Gravdal,NO,47.39,few clouds,68.1214,13.5031,Skreda Rorbusuiter
97,Yar-Sale,RU,30.34,overcast clouds,66.8333,70.8333,Yalemd
100,Genhe,CN,45.55,few clouds,50.7833,121.5167,Companionship Hotel
101,Aklavik,CA,32.92,overcast clouds,68.2191,-135.0107,Aklavik Inn
104,Esso,RU,40.21,scattered clouds,55.9333,158.7,Paramushir Tur
107,Tuktoyaktuk,CA,33.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
109,Schmolln,DE,47.44,broken clouds,50.9,12.3667,Hotel und Restaurant Bellevue
128,Akureyri,IS,46.33,overcast clouds,65.6835,-18.0878,Akureyri - Berjaya Iceland Hotels
133,Longyearbyen,SJ,35.44,fog,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
153,Nikolskoye,RU,44.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
159,Nome,US,47.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
160,Keuruu,FI,41.81,scattered clouds,62.2667,24.7,Hostelli Nonna
168,Clyde River,CA,28.63,light snow,70.4692,-68.5914,Qamaq Hotel
169,Torbay,CA,49.57,clear sky,47.6666,-52.7314,Gallows Cove
181,Pankrushikha,RU,29.93,few clouds,53.8319,80.3406,"Гостиница ""Уют"""
186,Eucaliptus,BO,45.59,clear sky,-17.5833,-67.5167,Hotel Serrano
191,Dalvik,IS,46.33,overcast clouds,65.9702,-18.5286,Dalvík Hostel
211,Yurino,RU,47.3,broken clouds,56.2942,46.3039,Sheremetev Castle
231,Qaqortoq,GL,36.3,light rain,60.7167,-46.0333,Siniffik Inn
243,Yekaterinoslavka,RU,45.55,clear sky,50.3734,129.1139,Oktyabr'skaya
246,Ayagoz,KZ,24.22,clear sky,47.9714,80.4392,Gostinitsa Nur
254,Sorland,NO,48.06,clear sky,67.667,12.6934,Sjybrygga fiskecamp
255,Iqaluit,CA,33.53,overcast clouds,63.7506,-68.5145,Frobisher Inn
