City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,66.54,80,39,18.32,scattered clouds
1,Qaanaaq,GL,77.484,-69.3632,13.23,69,15,6.33,few clouds
2,Lebu,CL,-37.6167,-73.65,51.57,94,100,14.34,overcast clouds
3,Kapaa,US,22.0752,-159.319,84.52,73,20,10.36,few clouds
4,Northam,GB,51.0333,-4.2167,59.25,82,91,21.41,overcast clouds
5,Mahebourg,MU,-20.4081,57.7,70.09,68,40,8.05,scattered clouds
6,Luderitz,NA,-26.6481,15.1594,56.14,65,6,14.9,clear sky
7,Dikson,RU,73.5069,80.5464,34.84,83,100,17.18,overcast clouds
8,Cherskiy,RU,68.75,161.3,33.8,61,100,2.8,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,46.51,57,40,35.68,scattered clouds
10,Ribeira Grande,PT,38.5167,-28.7,70.32,69,9,12.24,clear sky
11,Vaini,TO,-21.2,-175.2,78.96,73,20,11.5,few clouds
12,Chokurdakh,RU,70.6333,147.9167,26.69,70,100,4.63,overcast clouds
13,Busselton,AU,-33.65,115.3333,64.78,60,100,15.08,overcast clouds
14,Tieling,CN,42.2931,123.8414,62.67,73,100,3.33,overcast clouds
15,Itupiranga,BR,-5.1347,-49.3267,82.72,72,100,4.88,overcast clouds
16,Mareeba,AU,-17.0,145.4333,83.48,56,4,7.92,clear sky
17,Cidreira,BR,-30.1811,-50.2056,60.51,94,100,15.14,overcast clouds
18,Manokwari,ID,-0.8667,134.0833,83.01,67,100,2.39,overcast clouds
19,Thompson,CA,55.7435,-97.8558,32.16,80,20,4.61,few clouds
20,Tiksi,RU,71.6872,128.8694,18.16,89,69,7.99,broken clouds
21,New Norfolk,AU,-42.7826,147.0587,61.72,38,2,2.98,clear sky
22,Rikitea,PF,-23.1203,-134.9692,74.01,74,0,9.86,clear sky
23,Rawson,AR,-43.3002,-65.1023,53.15,67,48,4.59,scattered clouds
24,Saint George,US,37.1041,-113.5841,88.39,24,0,11.5,clear sky
25,Albany,US,42.6001,-73.9662,49.46,87,100,2.01,overcast clouds
26,Sisophon,KH,13.5859,102.9737,75.07,95,100,2.75,overcast clouds
27,Te Anau,NZ,-45.4167,167.7167,53.69,50,4,2.98,clear sky
28,Mar Del Plata,AR,-38.0023,-57.5575,57.09,81,0,8.05,clear sky
29,Hermanus,ZA,-34.4187,19.2345,49.8,70,100,3.91,overcast clouds
30,Hobart,AU,-42.8794,147.3294,61.05,54,20,5.75,few clouds
31,Bati,ET,11.1833,40.0167,66.67,61,84,4.27,light rain
32,Lima,PE,-12.0432,-77.0282,60.91,83,75,10.36,broken clouds
33,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,8.05,scattered clouds
34,Ushuaia,AR,-54.8,-68.3,46.06,53,20,9.22,few clouds
35,Srednekolymsk,RU,67.45,153.6833,30.2,85,100,12.86,light snow
36,Chifeng,CN,42.2683,118.9636,57.83,47,100,6.58,overcast clouds
37,Birjand,IR,32.8663,59.2211,63.07,25,0,9.22,clear sky
38,Hagere Hiywet,ET,8.9833,37.85,53.38,88,6,2.57,clear sky
39,Baruun-Urt,MN,46.6806,113.2792,63.57,26,100,12.33,overcast clouds
40,Hilo,US,19.7297,-155.09,87.28,70,0,6.91,clear sky
41,Mataura,NZ,-46.1927,168.8643,52.48,36,1,3.8,clear sky
42,Georgetown,MY,5.4112,100.3354,78.73,87,40,6.91,scattered clouds
43,Saint-Philippe,RE,-21.3585,55.7679,64.22,81,54,10.31,broken clouds
44,Butaritari,KI,3.0707,172.7902,81.36,78,100,13.8,overcast clouds
45,Vallenar,CL,-28.5708,-70.7581,63.28,58,0,2.68,clear sky
46,Mahibadhoo,MV,3.7833,72.9667,81.23,77,100,19.69,light rain
47,Jamestown,US,42.097,-79.2353,52.02,80,0,8.05,clear sky
48,Castro,BR,-24.7911,-50.0119,53.73,97,100,4.23,overcast clouds
49,Avarua,CK,-21.2078,-159.775,75.25,57,13,11.5,few clouds
50,Saskylakh,RU,71.9167,114.0833,27.46,96,100,5.48,light snow
51,Lahaina,US,20.8783,-156.6825,87.8,67,9,7.94,clear sky
52,Cape Town,ZA,-33.9258,18.4232,61.38,76,0,4.61,clear sky
53,Atuona,PF,-9.8,-139.0333,76.86,68,3,15.12,clear sky
54,Khatanga,RU,71.9667,102.5,29.98,97,100,12.57,light snow
55,Dunedin,NZ,-45.8742,170.5036,50.05,59,0,6.38,clear sky
56,Kruisfontein,ZA,-34.0033,24.7314,54.88,86,10,13.87,clear sky
57,San Cristobal,VE,7.7669,-72.225,71.78,93,100,3.56,overcast clouds
58,Victoria,HK,22.2855,114.1577,86.25,83,98,10.0,overcast clouds
59,Tuatapere,NZ,-46.1333,167.6833,50.47,56,2,6.58,clear sky
60,Amapa,BR,1.0,-52.0,75.97,82,84,5.23,broken clouds
61,San Patricio,US,28.017,-97.5169,80.55,52,0,10.4,clear sky
62,Hovd,MN,48.0056,91.6419,25.86,36,1,2.44,clear sky
63,Yellowknife,CA,62.456,-114.3525,54.12,76,75,11.5,broken clouds
64,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,20,18.41,few clouds
65,Kumhari,IN,21.2667,81.5167,77.34,80,95,3.96,overcast clouds
66,Balkanabat,TM,39.5108,54.3671,70.97,27,0,7.34,clear sky
67,Poum,NC,-20.2333,164.0167,74.07,66,0,16.08,clear sky
68,Meulaboh,ID,4.1363,96.1285,77.63,85,99,6.51,overcast clouds
69,Richards Bay,ZA,-28.783,32.0377,70.77,79,52,13.51,broken clouds
70,Ohara,JP,35.25,140.3833,77.11,61,18,16.53,few clouds
71,Provideniya,RU,64.3833,-173.3,38.35,81,100,21.12,overcast clouds
72,Nisia Floresta,BR,-6.0911,-35.2086,80.98,87,93,9.51,overcast clouds
73,Fortuna,US,40.5982,-124.1573,64.98,82,1,1.01,clear sky
74,Beloha,MG,-25.1667,45.05,62.73,94,0,4.83,clear sky
75,Barrow,US,71.2906,-156.7887,30.22,86,100,10.36,light snow
76,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.62,49,0,6.11,clear sky
77,Paraiso,CR,9.8383,-83.8656,67.06,97,100,1.16,overcast clouds
78,Deputatskiy,RU,69.3,139.9,16.66,90,100,0.6,overcast clouds
79,Beisfjord,NO,68.3751,17.5988,38.05,72,3,7.29,clear sky
80,Verkhniy Baskunchak,RU,48.2256,46.7217,64.67,63,57,3.11,broken clouds
81,Tasiilaq,GL,65.6145,-37.6368,41.16,84,100,4.72,overcast clouds
82,Avera,US,33.194,-82.5271,65.71,77,100,11.65,overcast clouds
83,Esperance,AU,-33.8667,121.9,61.21,62,48,9.53,scattered clouds
84,Peniche,PT,39.3558,-9.3811,57.29,92,43,13.04,scattered clouds
85,Gravdal,NO,68.1214,13.5031,47.39,65,11,8.79,few clouds
86,Gimbi,ET,9.1667,35.8333,51.82,96,32,1.3,light rain
87,Quatre Cocos,MU,-20.2078,57.7625,69.91,75,1,10.54,clear sky
88,Bathsheba,BB,13.2167,-59.5167,83.01,83,20,17.27,few clouds
89,Japura,ID,-0.3167,102.35,82.9,77,88,1.5,overcast clouds
90,Yantal,RU,56.8471,105.2542,28.8,89,100,7.05,light snow
91,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,79,4.0,broken clouds
92,Saint-Ambroise,CA,48.5501,-71.3324,55.0,58,5,4.61,clear sky
93,Zhangjiakou,CN,40.81,114.8794,69.69,44,100,8.9,overcast clouds
94,Sola,VU,-13.8833,167.55,81.79,65,4,6.85,clear sky
95,Innisfail,AU,-17.5333,146.0333,79.57,55,45,8.46,scattered clouds
96,Novikovo,RU,51.1537,37.8879,57.31,95,98,5.55,overcast clouds
97,Yar-Sale,RU,66.8333,70.8333,30.34,72,99,12.33,overcast clouds
98,Upernavik,GL,72.7868,-56.1549,19.22,84,68,4.27,broken clouds
99,Kaitangata,NZ,-46.2817,169.8464,50.4,53,0,6.2,clear sky
100,Genhe,CN,50.7833,121.5167,45.55,44,20,5.66,few clouds
101,Aklavik,CA,68.2191,-135.0107,32.92,99,100,7.27,overcast clouds
102,Hervey Bay,AU,-25.2986,152.8535,76.01,60,82,8.99,broken clouds
103,Aljezur,PT,37.3191,-8.8033,59.25,62,9,7.76,clear sky
104,Esso,RU,55.9333,158.7,40.21,72,47,4.7,scattered clouds
105,Alta Floresta,BR,-9.8756,-56.0861,85.21,39,99,2.19,overcast clouds
106,Gladstone,AU,-23.85,151.25,75.13,57,40,9.22,scattered clouds
